DARC,DDPG,TD3,DARC_SE,DDPG_SE,TD3_SE
576.7031905,308.1860101,353.5740775,6.34E+02,7.20E+02,5.91E+02
583.9480936,258.8287163,342.9553974,6.34E+02,7.33E+02,5.82E+02
596.3361015,256.886979,429.7824253,6.39E+02,7.15E+02,6.49E+02
580.0126951,258.4618708,422.8486982,6.40E+02,7.25E+02,6.43E+02
593.3675175,286.4595262,446.7455123,6.39E+02,7.07E+02,6.58E+02
585.501862,318.1515752,451.3014505,6.40E+02,6.59E+02,6.65E+02
582.5226911,314.0477613,455.6142845,6.42E+02,6.88E+02,6.71E+02
590.9156157,253.7127696,454.8658461,6.55E+02,7.02E+02,6.70E+02
600.365927,348.2224191,462.5963821,6.35E+02,7.10E+02,6.72E+02
608.3741125,347.3539914,450.6349791,6.43E+02,6.58E+02,6.66E+02
605.4019183,348.8009062,437.0258086,6.35E+02,6.95E+02,6.58E+02
611.2972304,343.1327701,430.1997912,6.42E+02,6.90E+02,6.53E+02
623.9185547,349.3104193,416.6244885,6.47E+02,6.88E+02,6.38E+02
628.7375973,342.3224583,427.9415349,6.43E+02,6.83E+02,6.46E+02
621.7173869,256.2281173,431.4740172,6.34E+02,6.77E+02,6.52E+02
628.5179752,260.9228842,432.5945472,6.41E+02,6.86E+02,6.50E+02
631.1805103,281.4004234,416.2825549,6.38E+02,7.07E+02,6.42E+02
624.687335,287.307125,425.414059,6.38E+02,6.94E+02,6.47E+02
631.1752791,212.9575628,430.5685478,6.45E+02,6.95E+02,6.48E+02
627.9417451,212.0127523,431.8336062,6.41E+02,6.91E+02,6.49E+02
634.1449745,237.6396676,429.6406533,6.43E+02,6.77E+02,6.51E+02
639.354441,236.3189866,432.0482817,6.44E+02,6.73E+02,6.51E+02
637.6559078,241.2652738,425.9617485,6.46E+02,6.76E+02,6.47E+02
636.3182347,232.1721114,433.9121215,6.42E+02,6.80E+02,6.50E+02
641.2222371,234.5933069,424.8417023,6.47E+02,7.07E+02,6.46E+02
639.5655154,223.9595827,434.8189681,6.46E+02,7.10E+02,6.55E+02
637.5913339,240.9223182,429.2291048,6.45E+02,6.78E+02,6.48E+02
637.9782975,262.608833,437.5637601,6.44E+02,6.88E+02,6.53E+02
642.3711828,262.9503841,434.2412069,6.47E+02,6.82E+02,6.52E+02
644.3227091,262.5519382,430.5625019,6.48E+02,6.78E+02,6.51E+02
644.7495973,232.9268982,430.5007592,6.48E+02,6.78E+02,6.50E+02
645.948255,232.6488885,439.0622042,6.51E+02,6.77E+02,6.54E+02
