DARC,DDPG,TD3
585.501861964816,318.151575240768,451.301450547083
582.52269112983,314.047761306581,455.61428448008
590.915615678256,253.712769609761,454.865846100693
600.365927035932,348.22241912348,462.596382113546
608.374112484471,347.353991371373,450.63497905628
605.401918305457,348.800906172679,437.025808584619
611.297230444867,343.132770113176,430.199791201551
623.91855467866,349.310419331815,416.624488476023
628.737597328827,342.322458257118,427.941534944113
621.717386936057,256.228117335349,431.474017234066
628.517975245929,260.922884178018,432.594547210444
631.180510319711,281.400423380415,416.282554858101
624.687335012403,287.307124958532,425.41405904134
631.175279103034,212.957562803721,430.568547816616
627.941745148141,212.012752287418,431.833606181704
634.144974463092,237.639667606282,429.640653300494
639.354441000219,236.318986624673,432.048281681877
637.655907829794,241.265273843952,425.961748510329
636.318234660502,232.172111413872,433.912121530017
641.222237148173,234.593306932183,424.841702310376
639.565515402581,223.959582693144,434.818968070162
637.591333854477,240.922318247191,429.229104847277
637.97829751963,262.608832951601,437.563760075898
642.371182818644,262.95038411081,434.241206871382
644.322709107817,262.551938249821,430.562501862564
644.749597341272,232.926898243759,430.500759220017
645.948255049555,232.648888483435,439.062204224302
639.979468525634,206.68860480993,434.616493675653
645.046269274211,233.244457013201,428.797958338313
644.06924592751,233.955602577088,430.117542870172
648.202715944502,226.584120874906,434.961906166919
644.540613813893,302.28969030211,432.919047395309
649.664178670629,323.199081586506,431.715163104351
646.304059443969,483.299167888655,439.998809691876
648.803608556265,467.439323736922,426.800932330833
649.93492597602,477.670570893296,428.747916066648
654.148448904407,577.035602348273,429.738573172479
647.470202234387,534.456422941595,438.629059612409
650.615735524611,548.63720236242,431.575662785378
645.849418097887,546.115369038733,430.824071924077
644.662434547029,573.18920568052,429.685710207489
649.505949798999,608.130915964723,432.418239718239
651.396512430488,623.582189406659,431.33453082061
652.707555201451,623.124018394211,434.031343228374
650.644044542274,641.53626795625,429.569666352514
653.403788091032,651.865083373573,428.746191827911
654.500766429115,661.410994076224,429.239117553027
647.460274264019,661.087252659477,430.084769078785
652.681822266281,660.093141813815,433.628120806316
656.47816435332,652.929402962023,427.797529803952
655.485514734201,653.933537780667,429.659148512242
651.724705723639,637.244198496001,431.232277059273
654.574027908012,648.915059621386,436.406509890162
656.022491094445,660.232318847526,428.711679269497
654.117958986432,639.776442725125,434.976686086107
656.25808926929,581.126076124504,425.54305918777
653.397687338017,660.769495206019,428.354257231847
652.12928395844,633.784871077792,436.42779745436
654.096750017649,657.703777745974,427.625660614409
655.450167645356,658.362381161229,426.573657935125
656.435650982802,657.982978196803,423.098529329924
658.461124868896,653.734769706623,430.808669837597
655.964150774093,657.659850396128,430.52611060253
650.912716315403,645.006933233208,427.427102108334
655.081368758769,649.989195109561,433.584579712865
659.997543942909,651.105478073098,431.863444421964
655.185509603663,645.50844257666,432.466408786899
651.355950456346,641.759029805795,428.364493306915
653.962946126638,649.850685719655,428.71843858385
654.257020594461,625.737627931225,430.81886380207
656.501087917423,592.491544995244,430.985038694257
655.975499605913,633.07524639839,430.0312397498
657.178102304746,617.95934500376,432.527047527353
660.600473099889,624.518698518675,433.866105579477
656.341212616168,633.220342166098,426.31354110096
659.858071460658,572.299787633557,431.313965919147
658.949915788127,578.423123710008,432.308718818368
651.966986180278,579.677239452087,441.576541928164
652.111289919466,580.188329340561,426.533156926362
658.472587270832,591.924684292843,434.286511069156
657.978370910295,586.375086346392,429.233493949417
658.887934096857,611.41693971651,429.778389733872
654.608488230673,645.360064823969,430.515825616201
658.750441924199,624.146333678319,431.302278135293
657.07851193293,630.801092043509,429.10988970956
656.174719714504,632.557850619899,435.093321947558
658.792518869657,643.928773067511,426.989121757319
656.049286736909,648.593421491685,433.213470983005
657.618085327303,650.848750954918,435.589173730764
657.631517620538,635.812862209483,426.092882059314
658.13400750935,647.543775620721,435.470811589047
664.128089258549,622.810850592437,430.570809359782
655.999493103081,622.539546317365,431.437910571763
657.377772508834,619.552857207384,435.515894777387
659.663286677031,625.342530801823,433.721710550519
661.787770859732,649.554366131183,433.70723524531
664.588768765893,648.361555940401,430.180779396863
653.808465603193,647.814381686198,435.871125185911
662.239483210526,653.285821918152,431.517259889537
658.014867694958,647.375227863039,428.990365745272
661.310576763221,647.127710027318,426.764167604097
664.004779436773,643.154704909588,434.529745407247
654.843801057251,644.828421222606,430.351791023901
658.180743322383,647.87243565786,430.316641551216
